GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Family households:,Margin of Error; Family households:,Estimate; Family households: - Married-couple family,Margin of Error; Family households: - Married-couple family,Estimate; Family households: - Other family:,Margin of Error; Family households: - Other family:,"Estimate; Family households: - Other family: - Male householder, no wife present","Margin of Error; Family households: - Other family: - Male householder, no wife present","Estimate; Family households: - Other family: - Female householder, no husband present","Margin of Error; Family households: - Other family: - Female householder, no husband present",Estimate; Nonfamily households:,Margin of Error; Nonfamily households:,Estimate; Nonfamily households: - Householder living alone,Margin of Error; Nonfamily households: - Householder living alone,Estimate; Nonfamily households: - Householder not living alone,Margin of Error; Nonfamily households: - Householder not living alone
1500000US060371066032,060371066032,"Block Group 2, Census Tract 1066.03, Los Angeles County, California",319,54,296,58,242,58,54,37,24,28,30,26,23,16,18,14,5,8
1500000US060371066041,060371066041,"Block Group 1, Census Tract 1066.04, Los Angeles County, California",8,14,8,14,8,14,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060371066042,060371066042,"Block Group 2, Census Tract 1066.04, Los Angeles County, California",84,59,35,38,35,38,0,12,0,12,0,12,49,54,40,52,9,14
1500000US060371066043,060371066043,"Block Group 3, Census Tract 1066.04, Los Angeles County, California",29,47,0,12,0,12,0,12,0,12,0,12,29,47,29,47,0,12
1500000US060371066044,060371066044,"Block Group 4, Census Tract 1066.04, Los Angeles County, California",67,41,30,29,7,12,23,33,0,12,23,33,37,27,29,27,8,13
1500000US060371066411,060371066411,"Block Group 1, Census Tract 1066.41, Los Angeles County, California",507,67,454,63,417,63,37,25,4,7,33,24,53,27,44,26,9,10
1500000US060371066421,060371066421,"Block Group 1, Census Tract 1066.42, Los Angeles County, California",244,66,192,62,165,61,27,27,19,23,8,13,52,37,52,37,0,12
1500000US060371066422,060371066422,"Block Group 2, Census Tract 1066.42, Los Angeles County, California",296,59,247,56,225,55,22,18,13,15,9,14,49,36,39,31,10,16
1500000US060371066423,060371066423,"Block Group 3, Census Tract 1066.42, Los Angeles County, California",184,47,122,46,89,41,33,30,9,14,24,26,62,41,62,41,0,12
1500000US060371066431,060371066431,"Block Group 1, Census Tract 1066.43, Los Angeles County, California",519,79,432,82,359,92,73,53,15,17,58,49,87,54,45,33,42,45
1500000US060371066432,060371066432,"Block Group 2, Census Tract 1066.43, Los Angeles County, California",210,70,154,63,154,63,0,12,0,12,0,12,56,46,48,44,8,12
1500000US060371066433,060371066433,"Block Group 3, Census Tract 1066.43, Los Angeles County, California",157,54,137,51,86,45,51,36,7,11,44,34,20,17,20,17,0,12
1500000US060371066451,060371066451,"Block Group 1, Census Tract 1066.45, Los Angeles County, California",305,69,246,59,202,58,44,44,34,41,10,15,59,52,59,52,0,12
1500000US060371066452,060371066452,"Block Group 2, Census Tract 1066.45, Los Angeles County, California",561,80,452,87,389,90,63,42,25,24,38,40,109,45,91,44,18,21
1500000US060371066461,060371066461,"Block Group 1, Census Tract 1066.46, Los Angeles County, California",397,56,318,53,199,53,119,49,8,12,111,49,79,37,75,36,4,7
1500000US060371066462,060371066462,"Block Group 2, Census Tract 1066.46, Los Angeles County, California",160,49,113,48,84,43,29,25,6,9,23,27,47,31,24,19,23,23
1500000US060371066481,060371066481,"Block Group 1, Census Tract 1066.48, Los Angeles County, California",20,22,13,19,9,12,4,9,0,12,4,9,7,11,7,11,0,12
1500000US060371066482,060371066482,"Block Group 2, Census Tract 1066.48, Los Angeles County, California",25,24,25,24,25,24,0,12,0,12,0,12,0,12,0,12,0,12
1500000US060371066491,060371066491,"Block Group 1, Census Tract 1066.49, Los Angeles County, California",25,19,11,12,11,12,0,12,0,12,0,12,14,15,14,15,0,12
1500000US060371066492,060371066492,"Block Group 2, Census Tract 1066.49, Los Angeles County, California",87,28,80,25,56,28,24,23,0,12,24,23,7,11,0,12,7,11
1500000US060371070101,060371070101,"Block Group 1, Census Tract 1070.10, Los Angeles County, California",50,23,19,16,13,12,6,10,6,10,0,12,31,18,27,18,4,6
1500000US060371070201,060371070201,"Block Group 1, Census Tract 1070.20, Los Angeles County, California",74,51,57,52,57,52,0,12,0,12,0,12,17,19,17,19,0,12
1500000US060371070202,060371070202,"Block Group 2, Census Tract 1070.20, Los Angeles County, California",25,19,10,16,0,12,10,16,0,12,10,16,15,22,15,22,0,12
1500000US060371081011,060371081011,"Block Group 1, Census Tract 1081.01, Los Angeles County, California",560,44,430,47,399,48,31,25,11,11,20,21,130,41,115,40,15,15
1500000US060371081021,060371081021,"Block Group 1, Census Tract 1081.02, Los Angeles County, California",719,91,610,89,460,84,150,71,64,50,86,64,109,45,102,42,7,11
1500000US060371081031,060371081031,"Block Group 1, Census Tract 1081.03, Los Angeles County, California",311,72,215,71,194,68,21,21,21,21,0,12,96,44,85,42,11,17
