"place","year","candidates","candidates_l","seats_l","totalvotes","totalvotes_l","n_elected","n_elected_l","n_elected_a","n_elected_b","n_elected_w","prop_latino_elected","prop_asian_elected","prop_black_elected","prop_white_elected","prop_latino_ran","latino_voteshare"
"03820",2010,7,0,0,13899,0,2,0,0,0,2,0,0,0,1,0,0
"03820",2012,6,0,0,18904,0,3,0,0,0,3,0,0,0,1,0,0
"03820",2014,3,0,0,9806,0,2,0,0,0,2,0,0,0,1,0,0
"03820",2016,4,1,1,5674,867,3,1,0,0,2,0.333333333333333,0,0,0.666666666666667,0.333333333333333,0.152802255904124
"03820",2018,8,1,1,2687,278,2,0,0,0,2,0,0,0,1,0.5,0.103461109043543
"04030",1998,4,1,1,7524,1797,2,0,0,0,2,0,0,0,1,0.5,0.238835725677831
"04030",2000,9,6,2,9600,6504,2,1,0,0,1,0.5,0,0,0.5,1,0.6775
"04030",2002,8,3,2,6867,2113,2,0,0,0,2,0,0,0,1,1,0.307703509538372
"04030",2004,7,4,2,9351,5870,2,1,0,0,1,0.5,0,0,0.5,1,0.627740348625815
"04030",2006,11,5,3,10280,3479,3,1,0,0,2,0.333333333333333,0,0,0.666666666666667,1,0.338424124513619
"04030",2008,7,4,2,9834,6324,2,1,0,1,0,0.5,0,0.5,0,1,0.643075045759609
"04030",2010,3,2,2,6148,3598,2,1,0,0,1,0.5,0,0,0.5,1,0.58523096942095
"04030",2012,6,2,2,8190,3421,2,1,0,0,1,0.5,0,0,0.5,1,0.417704517704518
