city,application,address,zoning,totalUnits,singleFamily,multiFamily,totalUnitsNet,singleFamilyNet,multiFamilyNet,affordability,planningVote,planningApprove,councilVote,councilApprove,finalApproval,year,redesign,Notes,Sources,
Anaheim,3517615,119 W ADELE ST,1,3,0,3,3,0,3,0,,,,,,2013,0,by right change,,
Anaheim,3527022,1667 E LINCOLN AVE,1,19,0,19,19,0,19,0,,,,,,2013,0,by right change,,
Anaheim,3527023,1668 E LINCOLN AVE,1,7,0,7,7,0,7,0,,,,,,2013,0,by right change,,
Anaheim,3527025,1669 E LINCOLN AVE,1,9,0,9,9,0,9,0,,,,,,2013,0,by right change,,
Anaheim,3527026,1670 E LINCOLN AVE,1,14,0,14,14,0,14,0,,,,,,2013,0,by right change,,
Anaheim,3527028,1671 E LINCOLN AVE,1,18,0,18,18,0,18,0,,,,,,2013,0,by right change,,
Anaheim,3527029,1672 E LINCOLN AVE,1,16,0,16,16,0,16,0,,,,,,2013,0,by right change,,
Anaheim,3620309,327 S LEMON ST,1,3,0,3,3,0,3,0,,,,,,2013,0,by right change,,
Anaheim,3620608,420 S CLEMENTINE ST,1,7,0,7,7,0,7,0,,,,,,2013,0,by right change,,
Anaheim,3620627,431 S LEMON ST,1,7,0,7,7,0,7,0,,,,,,2013,0,by right change,,
Anaheim,3621015,507 S LEMON ST,1,10,0,10,10,0,10,0,,,,,,2013,0,by right change,,
Anaheim,3702114,129 W ELM ST,1,3,0,3,3,0,3,0,,,,,,2013,0,by right change,,
Anaheim,3702119,326 S LEMON ST,1,3,0,3,3,0,3,0,,,,,,2013,0,by right change,,
Anaheim,3702123,118 W BROADWAY,1,36,0,36,36,0,36,0,,,,,,2013,0,by right change,,
Anaheim,3702201,180 W ELM ST,1,21,0,21,21,0,21,0,,,,,,2013,0,by right change,,
Anaheim,3702202,130 W ELM ST,1,10,0,10,10,0,10,0,,,,,,2013,0,by right change,,
Anaheim,3702203,124 W ELM ST,1,10,0,10,10,0,10,0,,,,,,2013,0,by right change,,
Anaheim,3702212,145 W SANTA ANA ST,1,139,0,139,139,0,139,0,,,,,,2013,0,by right change,,
