"GEO_ID","NAME","B25002_001E","B25002_001M","B25002_002E","B25002_002M","B25002_003E","B25002_003M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Occupied","Margin of Error!!Total!!Occupied","Estimate!!Total!!Vacant","Margin of Error!!Total!!Vacant"
"1600000US0621026","East Quincy CDP, California","1152","185","1030","162","122","68"
"1600000US0637512","Johnsville CDP, California","102","25","0","12","102","25"
"1600000US0637904","Keddie CDP, California","79","38","17","16","62","35"
"1600000US0645050","Madera Acres CDP, California","2597","175","2494","176","103","89"
"1600000US0655842","Parkwood CDP, California","601","141","601","141","0","12"
"1600000US0648480","Mokelumne Hill CDP, California","326","145","228","109","98","111"
"1600000US0659220","Rail Road Flat CDP, California","305","70","159","66","146","52"
"1600000US0621188","East Sonora CDP, California","1234","170","1125","186","109","101"
"1600000US0651812","North Edwards CDP, California","653","104","390","82","263","82"
"1600000US0623812","Fellows CDP, California","23","13","20","13","3","5"
"1600000US0645736","Maricopa city, California","493","37","418","48","75","33"
"1600000US0660704","Ridgecrest city, California","12268","361","10954","324","1314","311"
"1600000US0680784","Tupman CDP, California","64","21","61","20","3","6"
"1600000US0683948","Weldon CDP, California","1475","212","1050","225","425","162"
"1600000US0646702","Meiners Oaks CDP, California","1302","160","1193","173","109","62"
"1600000US0653182","Oak View CDP, California","1642","137","1586","134","56","55"
"1600000US0657372","Piru CDP, California","602","52","593","54","9","15"
"1600000US0636126","Hydesville CDP, California","476","80","436","78","40","27"
"1600000US0607162","Blue Lake city, California","528","81","453","89","75","43"
"1600000US0617722","Cutten CDP, California","1314","134","1191","140","123","107"
"1600000US0623910","Ferndale city, California","741","87","599","84","142","53"
"1600000US0602252","Antioch city, California","35758","693","34102","678","1656","330"
"1600000US0614232","Clyde CDP, California","293","60","293","60","0","12"
"1600000US0638086","Kensington CDP, California","2380","49","2333","64","47","39"
"1600000US0638772","Knightsen CDP, California","596","124","543","117","53","41"
"1600000US0654232","Orinda city, California","7403","202","7093","173","310","124"
"1600000US0639570","Lake Isabella CDP, California","2469","283","1601","288","868","287"
"1600000US0671554","Shingle Springs CDP, California","1453","176","1453","176","0","12"
"1600000US0673108","South Lake Tahoe city, California","17285","528","8706","470","8579","363"
"1600000US0642104","Lockeford CDP, California","1215","77","1186","83","29","33"
"1600000US0649180","Morada CDP, California","1349","278","1231","252","118","128"
"1600000US0675000","Stockton city, California","102490","849","95191","882","7299","600"
"1600000US0639710","Lakeport city, California","2567","230","2132","218","435","183"
"1600000US0659506","Rancho Murieta CDP, California","2408","151","2347","163","61","78"
"1600000US0622412","El Segundo city, California","6975","260","6639","243","336","128"
"1600000US0636826","Irwindale city, California","415","19","381","26","34","20"
"1600000US0642468","Lomita city, California","8431","308","8078","261","353","156"
"1600000US0643000","Long Beach city, California","175235","1448","166460","1435","8775","688"
"1600000US0656000","Pasadena city, California","60396","779","54394","722","6002","557"
"1600000US0658072","Pomona city, California","40772","655","39122","569","1650","281"
"1600000US0673290","South San Jose Hills CDP, California","4269","131","4144","145","125","77"
"1600000US0681967","Val Verde CDP, California","774","41","751","45","23","25"
"1600000US0683332","Walnut city, California","9567","285","9038","246","529","129"
"1600000US0684144","West Carson CDP, California","7952","85","7522","162","430","156"
"1600000US0684921","West Whittier-Los Nietos CDP, California","7239","137","7146","153","93","60"
"1600000US0616210","Copperopolis CDP, California","2429","148","1649","173","780","176"
"1600000US0650034","Murphys CDP, California","1261","137","1010","136","251","99"
"1600000US0650258","Napa city, California","30408","416","28457","436","1951","330"
"1600000US0664140","St. Helena city, California","3143","177","2600","131","543","128"
"1600000US0614890","Colton city, California","18864","564","16549","566","2315","323"
"1600000US0642370","Loma Linda city, California","9421","387","8788","369","633","215"
"1600000US0646884","Mentone CDP, California","3531","114","3381","155","150","92"
"1600000US0650132","Muscoy CDP, California","2776","178","2680","180","96","65"
"1600000US0675714","Summerland CDP, California","691","128","512","128","179","101"
"1600000US0682072","Vandenberg AFB CDP, California","961","103","917","116","44","43"
"1600000US0619406","Dixon Lane-Meadow Creek CDP, California","1224","81","1181","97","43","52"
"1600000US0671680","Shoshone CDP, California","23","11","10","10","13","10"
"1600000US0604856","Belden CDP, California","39","32","0","12","39","32"
"1600000US0608744","Bucks Lake CDP, California","286","82","8","13","278","84"
"1600000US0639724","Lake San Marcos CDP, California","2843","248","2408","247","435","231"
"1600000US0611324","Carmel Valley Village CDP, California","2080","210","1717","165","363","186"
"1600000US0649768","Mount Hebron CDP, California","48","34","42","35","6","11"
"1600000US0649852","Mount Shasta city, California","1961","228","1710","183","251","153"
"1600000US0613364","Chualar CDP, California","293","52","255","49","38","25"
"1600000US0648872","Monterey city, California","13441","545","11596","483","1845","294"
"1600000US0672520","Soledad city, California","4042","276","3732","255","310","128"
"1600000US0610561","Camp Pendleton South CDP, California","3186","585","2842","559","344","324"
"1600000US0616378","Coronado city, California","10884","717","8396","714","2488","215"
"1600000US0622678","Encinitas city, California","26142","592","23996","526","2146","336"
"1600000US0622804","Escondido city, California","48268","827","46338","794","1930","354"
"1600000US0651140","Newman city, California","3342","239","3251","228","91","89"
"1600000US0661106","Riverdale Park CDP, California","373","104","348","99","25","41"
"1600000US0658240","Porterville city, California","18219","489","16933","497","1286","275"
"1600000US0619570","Dorrington CDP, California","1643","85","110","45","1533","86"
"1600000US0628112","Galt city, California","8394","298","7911","276","483","192"
"1600000US0640410","La Riviera CDP, California","4677","70","4350","149","327","129"
